volunteer_id,time,available
V1,Morning,1
V1,Evening,0
V2,Morning,1
V2,Evening,1
V3,Morning,1
V3,Evening,0
V4,Morning,1
V4,Evening,1
V5,Morning,1
V5,Evening,1
V6,Morning,0
V6,Evening,1
V7,Morning,1
V7,Evening,1
V8,Morning,1
V8,Evening,0
V9,Morning,1
V9,Evening,1
V10,Morning,1
V10,Evening,1
V11,Morning,1
V11,Evening,1
V12,Morning,1
V12,Evening,0
V13,Morning,1
V13,Evening,1
V14,Morning,1
V14,Evening,1
V15,Morning,1
V15,Evening,1
V16,Morning,1
V16,Evening,1
V17,Morning,0
V17,Evening,1
V18,Morning,1
V18,Evening,1
V19,Morning,1
V19,Evening,1
V20,Morning,1
V20,Evening,1
