volunteer_id,task,time,cost
V1,S1,Morning,148
V1,S1,Evening,74
V1,S2,Morning,142
V1,S2,Evening,67
V1,S3,Morning,131
V1,S3,Evening,115
V1,S4,Morning,103
V1,S4,Evening,84
V1,S5,Morning,129
V1,S5,Evening,110
V2,S1,Morning,90
V2,S1,Evening,149
V2,S2,Morning,82
V2,S2,Evening,117
V2,S3,Morning,82
V2,S3,Evening,63
V2,S4,Morning,70
V2,S4,Evening,97
V2,S5,Morning,69
V2,S5,Evening,57
V3,S1,Morning,56
V3,S1,Evening,116
V3,S2,Morning,66
V3,S2,Evening,82
V3,S3,Morning,97
V3,S3,Evening,125
V3,S4,Morning,108
V3,S4,Evening,135
V3,S5,Morning,71
V3,S5,Evening,79
V4,S1,Morning,87
V4,S1,Evening,100
V4,S2,Morning,103
V4,S2,Evening,57
V4,S3,Morning,76
V4,S3,Evening,76
V4,S4,Morning,147
V4,S4,Evening,70
V4,S5,Morning,79
V4,S5,Evening,146
V5,S1,Morning,77
V5,S1,Evening,113
V5,S2,Morning,146
V5,S2,Evening,118
V5,S3,Morning,110
V5,S3,Evening,97
V5,S4,Morning,68
V5,S4,Evening,53
V5,S5,Morning,84
V5,S5,Evening,113
V6,S1,Morning,98
V6,S1,Evening,66
V6,S2,Morning,93
V6,S2,Evening,141
V6,S3,Morning,79
V6,S3,Evening,142
V6,S4,Morning,95
V6,S4,Evening,55
V6,S5,Morning,148
V6,S5,Evening,86
V7,S1,Morning,73
V7,S1,Evening,142
V7,S2,Morning,95
V7,S2,Evening,102
V7,S3,Morning,144
V7,S3,Evening,148
V7,S4,Morning,109
V7,S4,Evening,146
V7,S5,Morning,112
V7,S5,Evening,134
V8,S1,Morning,81
V8,S1,Evening,136
V8,S2,Morning,82
V8,S2,Evening,116
V8,S3,Morning,67
V8,S3,Evening,74
V8,S4,Morning,144
V8,S4,Evening,103
V8,S5,Morning,107
V8,S5,Evening,116
V9,S1,Morning,95
V9,S1,Evening,73
V9,S2,Morning,81
V9,S2,Evening,96
V9,S3,Morning,135
V9,S3,Evening,72
V9,S4,Morning,115
V9,S4,Evening,76
V9,S5,Morning,51
V9,S5,Evening,139
V10,S1,Morning,66
V10,S1,Evening,82
V10,S2,Morning,58
V10,S2,Evening,92
V10,S3,Morning,97
V10,S3,Evening,88
V10,S4,Morning,142
V10,S4,Evening,91
V10,S5,Morning,75
V10,S5,Evening,148
V11,S1,Morning,99
V11,S1,Evening,74
V11,S2,Morning,73
V11,S2,Evening,62
V11,S3,Morning,109
V11,S3,Evening,56
V11,S4,Morning,106
V11,S4,Evening,85
V11,S5,Morning,94
V11,S5,Evening,69
V12,S1,Morning,114
V12,S1,Evening,57
V12,S2,Morning,65
V12,S2,Evening,63
V12,S3,Morning,125
V12,S3,Evening,136
V12,S4,Morning,64
V12,S4,Evening,141
V12,S5,Morning,147
V12,S5,Evening,115
V13,S1,Morning,81
V13,S1,Evening,136
V13,S2,Morning,112
V13,S2,Evening,135
V13,S3,Morning,100
V13,S3,Evening,74
V13,S4,Morning,107
V13,S4,Evening,112
V13,S5,Morning,111
V13,S5,Evening,71
V14,S1,Morning,107
V14,S1,Evening,107
V14,S2,Morning,135
V14,S2,Evening,98
V14,S3,Morning,101
V14,S3,Evening,91
V14,S4,Morning,119
V14,S4,Evening,64
V14,S5,Morning,103
V14,S5,Evening,109
V15,S1,Morning,146
V15,S1,Evening,57
V15,S2,Morning,102
V15,S2,Evening,109
V15,S3,Morning,54
V15,S3,Evening,117
V15,S4,Morning,55
V15,S4,Evening,145
V15,S5,Morning,143
V15,S5,Evening,96
V16,S1,Morning,148
V16,S1,Evening,104
V16,S2,Morning,89
V16,S2,Evening,101
V16,S3,Morning,65
V16,S3,Evening,62
V16,S4,Morning,79
V16,S4,Evening,68
V16,S5,Morning,66
V16,S5,Evening,112
V17,S1,Morning,68
V17,S1,Evening,141
V17,S2,Morning,107
V17,S2,Evening,104
V17,S3,Morning,139
V17,S3,Evening,139
V17,S4,Morning,111
V17,S4,Evening,72
V17,S5,Morning,58
V17,S5,Evening,61
V18,S1,Morning,50
V18,S1,Evening,107
V18,S2,Morning,50
V18,S2,Evening,83
V18,S3,Morning,145
V18,S3,Evening,97
V18,S4,Morning,138
V18,S4,Evening,50
V18,S5,Morning,65
V18,S5,Evening,110
V19,S1,Morning,113
V19,S1,Evening,112
V19,S2,Morning,118
V19,S2,Evening,71
V19,S3,Morning,142
V19,S3,Evening,116
V19,S4,Morning,125
V19,S4,Evening,75
V19,S5,Morning,65
V19,S5,Evening,100
V20,S1,Morning,135
V20,S1,Evening,106
V20,S2,Morning,78
V20,S2,Evening,127
V20,S3,Morning,141
V20,S3,Evening,118
V20,S4,Morning,96
V20,S4,Evening,143
V20,S5,Morning,111
V20,S5,Evening,118
