task,time,skill,demand
S1,Morning,K1,3
S1,Morning,K2,1
S1,Morning,K3,1
S1,Morning,K4,3
S1,Evening,K1,2
S1,Evening,K2,1
S1,Evening,K3,3
S1,Evening,K4,1
S2,Morning,K1,1
S2,Morning,K2,2
S2,Morning,K3,3
S2,Morning,K4,3
S2,Evening,K1,2
S2,Evening,K2,2
S2,Evening,K3,3
S2,Evening,K4,3
S3,Morning,K1,2
S3,Morning,K2,1
S3,Morning,K3,1
S3,Morning,K4,2
S3,Evening,K1,1
S3,Evening,K2,2
S3,Evening,K3,1
S3,Evening,K4,1
S4,Morning,K1,3
S4,Morning,K2,3
S4,Morning,K3,1
S4,Morning,K4,1
S4,Evening,K1,3
S4,Evening,K2,3
S4,Evening,K3,3
S4,Evening,K4,2
S5,Morning,K1,1
S5,Morning,K2,3
S5,Morning,K3,1
S5,Morning,K4,2
S5,Evening,K1,2
S5,Evening,K2,3
S5,Evening,K3,2
S5,Evening,K4,1
