task,time,skill,hire_cost
S1,Morning,K1,225
S1,Morning,K2,165
S1,Morning,K3,239
S1,Morning,K4,239
S1,Evening,K1,197
S1,Evening,K2,234
S1,Evening,K3,188
S1,Evening,K4,249
S2,Morning,K1,182
S2,Morning,K2,243
S2,Morning,K3,172
S2,Morning,K4,159
S2,Evening,K1,218
S2,Evening,K2,249
S2,Evening,K3,183
S2,Evening,K4,201
S3,Morning,K1,244
S3,Morning,K2,159
S3,Morning,K3,168
S3,Morning,K4,207
S3,Evening,K1,245
S3,Evening,K2,150
S3,Evening,K3,218
S3,Evening,K4,153
S4,Morning,K1,165
S4,Morning,K2,173
S4,Morning,K3,229
S4,Morning,K4,151
S4,Evening,K1,241
S4,Evening,K2,181
S4,Evening,K3,240
S4,Evening,K4,233
S5,Morning,K1,173
S5,Morning,K2,161
S5,Morning,K3,199
S5,Morning,K4,184
S5,Evening,K1,182
S5,Evening,K2,182
S5,Evening,K3,210
S5,Evening,K4,200
