volunteer_id,task,preference
V1,S1,3
V1,S2,5
V1,S3,2
V1,S4,4
V1,S5,1
V2,S1,4
V2,S2,1
V2,S3,2
V2,S4,3
V2,S5,5
V3,S1,2
V3,S2,4
V3,S3,5
V3,S4,1
V3,S5,3
V4,S1,5
V4,S2,2
V4,S3,4
V4,S4,1
V4,S5,3
V5,S1,2
V5,S2,4
V5,S3,5
V5,S4,1
V5,S5,3
V6,S1,4
V6,S2,3
V6,S3,1
V6,S4,5
V6,S5,2
V7,S1,3
V7,S2,2
V7,S3,5
V7,S4,4
V7,S5,1
V8,S1,5
V8,S2,3
V8,S3,1
V8,S4,2
V8,S5,4
V9,S1,2
V9,S2,1
V9,S3,4
V9,S4,3
V9,S5,5
V10,S1,2
V10,S2,5
V10,S3,3
V10,S4,1
V10,S5,4
V11,S1,1
V11,S2,5
V11,S3,4
V11,S4,2
V11,S5,3
V12,S1,4
V12,S2,3
V12,S3,1
V12,S4,2
V12,S5,5
V13,S1,1
V13,S2,3
V13,S3,2
V13,S4,5
V13,S5,4
V14,S1,5
V14,S2,1
V14,S3,2
V14,S4,4
V14,S5,3
V15,S1,5
V15,S2,2
V15,S3,3
V15,S4,1
V15,S5,4
V16,S1,2
V16,S2,3
V16,S3,4
V16,S4,5
V16,S5,1
V17,S1,2
V17,S2,3
V17,S3,5
V17,S4,4
V17,S5,1
V18,S1,1
V18,S2,4
V18,S3,2
V18,S4,5
V18,S5,3
V19,S1,5
V19,S2,4
V19,S3,2
V19,S4,1
V19,S5,3
V20,S1,5
V20,S2,4
V20,S3,2
V20,S4,3
V20,S5,1
