volunteer_id,skill,has_skill
V1,K1,0
V1,K2,1
V1,K3,1
V1,K4,1
V2,K1,0
V2,K2,0
V2,K3,0
V2,K4,1
V3,K1,1
V3,K2,1
V3,K3,0
V3,K4,1
V4,K1,1
V4,K2,0
V4,K3,0
V4,K4,0
V5,K1,0
V5,K2,1
V5,K3,1
V5,K4,0
V6,K1,1
V6,K2,0
V6,K3,0
V6,K4,0
V7,K1,1
V7,K2,1
V7,K3,0
V7,K4,1
V8,K1,1
V8,K2,0
V8,K3,1
V8,K4,0
V9,K1,0
V9,K2,1
V9,K3,1
V9,K4,1
V10,K1,0
V10,K2,0
V10,K3,1
V10,K4,1
V11,K1,0
V11,K2,1
V11,K3,0
V11,K4,1
V12,K1,0
V12,K2,1
V12,K3,0
V12,K4,1
V13,K1,1
V13,K2,0
V13,K3,1
V13,K4,1
V14,K1,1
V14,K2,1
V14,K3,1
V14,K4,1
V15,K1,0
V15,K2,0
V15,K3,0
V15,K4,0
V16,K1,0
V16,K2,0
V16,K3,1
V16,K4,0
V17,K1,0
V17,K2,1
V17,K3,0
V17,K4,1
V18,K1,0
V18,K2,1
V18,K3,1
V18,K4,0
V19,K1,0
V19,K2,1
V19,K3,1
V19,K4,1
V20,K1,1
V20,K2,0
V20,K3,0
V20,K4,0
